Name,Code,FinalScore,Score_1d,Score_2d,Score_3d,rsi30,momentum_pos,macd_cross,ema5_over_ema20,ema20_over_ema60,rs_plus,p1_full,frg_own_1m_up,frg_3_pos,frg_5_pos,ins_3_pos,ins_5_pos
신세계,004170,60,20,40,60,0,0,0,0,0,8,0,0,5,7,0,0
TKG휴켐스,069260,60,20,40,60,0,0,0,0,0,8,0,0,0,0,4,8
미스토홀딩스,081660,57,20,38,56,0,0,0,0,0,8,0,0,0,0,4,8
대웅제약,069620,57,16,40,64,4,0,0,0,0,0,0,0,5,7,0,0
한화엔진,082740,56,14,51,51,0,6,0,4,0,0,0,0,0,0,4,0
현대오토에버,307950,54,14,28,80,0,6,0,0,0,8,0,0,0,0,0,0
하이트진로,000080,54,18,36,54,0,6,0,0,0,0,0,0,0,0,4,8
현대엘리베이터,017800,54,20,36,48,0,0,0,0,0,8,0,0,0,0,4,8
CJ제일제당,097950,54,18,36,54,0,6,0,0,0,0,0,0,0,0,4,8
DL이앤씨,375500,53,12,42,62,0,0,0,0,0,0,0,0,0,0,4,8
DB손해보험,005830,53,18,40,46,0,6,0,0,0,8,0,0,0,0,4,0
한국카본,017960,53,20,34,48,0,6,0,0,6,8,0,0,0,0,0,0
HS효성첨단소재,298050,52,18,36,48,0,6,0,0,0,0,0,0,0,0,4,8
현대모비스,012330,51,18,36,44,0,6,0,0,0,8,0,0,0,0,4,0
한진칼,180640,51,18,36,44,0,6,0,0,0,8,0,0,0,0,4,0
대상,001680,50,10,46,52,0,6,0,0,0,0,0,0,0,0,4,0
하이브,352820,49,14,28,64,0,6,0,0,0,8,0,0,0,0,0,0
아모레퍼시픽홀딩스,002790,49,18,30,48,0,6,0,0,0,0,0,0,0,0,4,8
파라다이스,034230,49,22,31,36,4,6,0,0,0,0,0,0,5,7,0,0
효성티앤씨,298020,49,18,32,46,0,6,0,0,0,8,0,0,0,0,4,0
SK,034730,48,16,32,48,4,0,0,0,0,0,0,0,5,7,0,0
SK바이오팜,326030,48,16,32,48,4,0,0,0,0,0,0,0,5,7,0,0
한국가스공사,036460,47,16,32,44,4,0,0,0,0,0,0,0,0,0,4,8
한화오션,042660,47,14,36,44,0,6,0,0,0,8,0,0,0,0,0,0
한샘,009240,46,14,28,54,0,6,0,0,0,8,0,0,0,0,0,0
카카오뱅크,323410,45,15,34,40,0,6,0,0,0,0,0,0,5,0,4,0
미래에셋증권,006800,45,6,26,78,0,6,0,0,0,0,0,0,0,0,0,0
한일시멘트,300720,45,17,29,41,4,0,0,0,0,8,0,0,5,0,0,0
미원상사,002840,45,18,28,40,0,6,0,0,0,8,0,0,0,0,4,0
현대차,005380,43,14,32,40,0,6,0,0,0,8,0,0,0,0,0,0
GS리테일,007070,43,16,28,40,4,0,0,0,0,0,0,0,5,7,0,0
세아베스틸지주,001430,42,14,28,42,0,6,0,0,0,8,0,0,0,0,0,0
LS,006260,42,22,22,28,0,6,0,4,0,8,0,0,0,0,4,0
S-Oil,010950,41,12,30,42,0,0,0,0,0,0,0,0,0,0,4,8
엔씨소프트,036570,41,15,29,35,0,6,0,0,0,0,0,0,5,0,4,0
현대제철,004020,40,22,22,22,0,6,0,4,0,8,0,0,0,0,4,0
DN오토모티브,007340,40,12,29,41,4,0,0,0,0,8,0,0,0,0,0,0
GKL,114090,39,14,28,34,0,6,0,0,0,8,0,0,0,0,0,0
NH투자증권,005940,39,11,30,40,0,6,0,0,0,0,0,0,5,0,0,0
오리온홀딩스,001800,39,12,24,44,4,0,0,0,0,8,0,0,0,0,0,0
더블유게임즈,192080,38,14,24,35,0,6,0,0,0,8,0,0,0,0,0,0
코웨이,021240,38,12,24,42,0,0,0,0,0,0,0,0,0,0,4,8
삼성E&A,028050,38,12,24,42,0,0,0,0,0,0,0,0,5,7,0,0
이수스페셜티케미컬,457190,36,12,24,36,4,0,0,0,0,8,0,0,0,0,0,0
팬오션,028670,36,12,24,36,4,0,0,0,0,8,0,0,0,0,0,0
LG씨엔에스,064400,36,12,24,36,4,0,0,0,0,8,0,0,0,0,0,0
LG이노텍,011070,36,12,24,36,4,0,0,0,0,8,0,0,0,0,0,0
메리츠금융지주,138040,36,12,24,36,0,0,0,0,0,0,0,0,0,0,4,8
기아,000270,35,12,24,32,4,0,0,0,0,8,0,0,0,0,0,0
현대위아,011210,35,8,22,48,0,0,0,0,0,8,0,0,0,0,0,0
HMM,011200,35,12,24,32,0,0,0,0,0,8,0,0,0,0,4,0
이마트,139480,35,12,20,40,4,0,0,0,0,8,0,0,0,0,0,0
금호타이어,073240,35,8,22,48,0,0,0,0,0,8,0,0,0,0,0,0
현대글로비스,086280,35,14,22,30,0,6,0,0,0,8,0,0,0,0,0,0
현대건설,000720,34,8,26,38,0,0,0,0,0,8,0,0,0,0,0,0
영원무역,111770,34,16,20,24,4,0,0,0,0,0,0,0,0,0,4,8
영원무역홀딩스,009970,34,8,26,40,0,0,0,0,0,8,0,0,0,0,0,0
삼성증권,016360,34,15,21,27,0,6,0,4,0,0,0,0,5,0,0,0
하나금융지주,086790,34,11,22,36,0,6,0,0,0,0,0,0,5,0,0,0
고려아연,010130,33,12,20,33,4,0,0,0,0,8,0,0,0,0,0,0
한화솔루션,009830,33,10,25,33,0,6,0,0,0,0,0,0,0,0,4,0
오리온,271560,33,12,18,36,0,6,0,0,6,0,0,0,0,0,0,0
F&F,383220,32,13,13,39,0,0,0,0,0,8,0,0,5,0,0,0
두산로보틱스,454910,32,8,26,34,0,0,0,0,0,8,0,0,0,0,0,0
한국타이어앤테크놀로지,161390,30,12,17,28,0,0,0,0,0,0,0,0,5,7,0,0
후성,093370,30,6,24,36,0,6,0,0,0,0,0,0,0,0,0,0
기업은행,024110,29,6,24,34,0,6,0,0,0,0,0,0,0,0,0,0
크래프톤,259960,29,10,20,26,0,6,0,0,0,0,0,0,0,0,4,0
호텔신라,008770,29,14,18,18,0,6,8,0,0,0,0,0,0,0,0,0
삼성화재,000810,28,11,17,27,0,6,0,0,0,0,0,0,5,0,0,0
LG전자,066570,28,8,16,36,0,0,0,0,0,8,0,0,0,0,0,0
한국항공우주,047810,28,6,16,42,0,6,0,0,0,0,0,0,0,0,0,0
KT,030200,27,12,16,22,0,0,0,0,0,8,0,0,0,0,4,0
HD현대일렉트릭,267260,27,9,18,26,4,0,0,0,0,0,0,0,5,0,0,0
HD현대마린솔루션,443060,27,10,20,20,0,6,0,0,0,0,0,0,0,0,4,0
두산에너빌리티,034020,27,6,16,38,0,6,0,0,0,0,0,0,0,0,0,0
한국금융지주,071050,26,14,14,14,0,6,8,0,0,0,0,0,0,0,0,0
롯데정밀화학,004000,26,4,23,31,0,0,0,0,0,0,0,0,0,0,4,0
넷마블,251270,25,6,12,38,0,6,0,0,0,0,0,0,0,0,0,0
LG에너지솔루션,373220,25,9,18,22,4,0,0,0,0,0,0,0,5,0,0,0
대한전선,001440,24,8,12,29,4,0,0,0,0,0,0,0,0,0,4,0
SK아이이테크놀로지,361610,23,8,16,20,4,0,0,0,0,0,0,0,0,0,4,0
한미사이언스,008930,22,4,20,24,4,0,0,0,0,0,0,0,0,0,0,0
POSCO홀딩스,005490,22,10,14,14,0,6,0,0,0,0,0,0,0,0,4,0
녹십자홀딩스,005250,21,0,20,32,0,0,0,0,0,0,0,0,0,0,0,0
SK바이오사이언스,302440,21,4,16,28,4,0,0,0,0,0,0,0,0,0,0,0
영풍,000670,21,9,13,17,4,0,0,0,0,0,0,0,5,0,0,0
태광산업,003240,21,8,16,16,4,0,0,0,0,0,0,0,0,0,4,0
CJ,001040,21,9,13,17,4,0,0,0,0,0,0,0,5,0,0,0
포스코퓨처엠,003670,21,9,13,17,4,0,0,0,0,0,0,0,5,0,0,0
KB금융,105560,21,6,16,22,0,6,0,0,0,0,0,0,0,0,0,0
현대로템,064350,21,6,16,22,0,6,0,0,0,0,0,0,0,0,0,0
신한지주,055550,20,6,12,23,0,6,0,0,0,0,0,0,0,0,0,0
KCC,002380,20,9,13,13,4,0,0,0,0,0,0,0,5,0,0,0
GS건설,006360,20,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0
유한양행,000100,19,6,16,16,0,6,0,0,0,0,0,0,0,0,0,0
한화에어로스페이스,012450,19,6,16,16,0,6,0,0,0,0,0,0,0,0,0,0
한미약품,128940,19,6,16,16,0,6,0,0,0,0,0,0,0,0,0,0
에코프로머티,450080,19,4,16,20,4,0,0,0,0,0,0,0,0,0,0,0
율촌화학,008730,19,8,12,16,4,0,0,0,0,0,0,0,0,0,4,0
에스디바이오센서,137310,18,4,14,20,0,0,0,0,0,0,0,0,0,0,4,0
대웅,003090,18,4,14,22,4,0,0,0,0,0,0,0,0,0,0,0
대한유화,006650,18,5,13,21,0,0,0,0,0,0,0,0,5,0,0,0
한솔케미칼,014680,18,4,14,20,0,0,0,0,0,0,0,0,0,0,4,0
삼양식품,003230,18,6,12,18,0,6,0,0,0,0,0,0,0,0,0,0
NAVER,035420,16,6,12,12,0,6,0,0,0,0,0,0,0,0,0,0
삼성중공업,010140,16,6,12,12,0,6,0,0,0,0,0,0,0,0,0,0
아세아,002030,16,4,8,24,4,0,0,0,0,0,0,0,0,0,0,0
두산밥캣,241560,15,4,8,20,4,0,0,0,0,0,0,0,0,0,0,0
삼성전기,009150,15,4,8,20,4,0,0,0,0,0,0,0,0,0,0,0
코스맥스,192820,15,5,10,16,0,0,0,0,0,0,0,0,5,0,0,0
GS,078930,14,4,12,12,4,0,0,0,0,0,0,0,0,0,0,0
동원시스템즈,014820,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
효성중공업,298040,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
삼성SDI,006400,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
포스코인터내셔널,047050,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
이수페타시스,007660,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
엘앤에프,066970,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
코스모화학,005420,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
한온시스템,018880,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
한국앤컴퍼니,000240,12,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0
한전기술,052690,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
산일전기,062040,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
HD현대인프라코어,042670,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
롯데케미칼,011170,12,4,10,10,0,0,0,0,0,0,0,0,0,0,4,0
삼성에스디에스,018260,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
SK이노베이션,096770,12,4,8,12,4,0,0,0,0,0,0,0,0,0,0,0
LG,003550,11,4,8,8,0,0,0,0,0,0,0,0,0,0,4,0
