종목명,종목코드,horizon,target,RMSE,MAE,MAPE(%),Bias,count,DirAcc_close(%),Dir_count
SK스퀘어,402340,h2,high,13457.27774083493,11161.32801837401,6.54736417767636,-10898.920920160175,42,,0
SK스퀘어,402340,h2,low,11976.813270297363,9321.032542699855,5.537266256304113,-8732.840277041705,42,,0
SK스퀘어,402340,h2,close,13740.61953603848,11074.634629913742,6.537849714475581,-10908.30066218263,42,47.61904761904761,42
SK스퀘어,402340,h3,high,14920.542382748685,10829.573671742684,6.089243875007706,-9583.554789247082,41,,0
SK스퀘어,402340,h3,low,18856.09213469346,14557.13292810975,8.57890778197576,-14369.611832426815,41,,0
SK스퀘어,402340,h3,close,10594.869397529015,7966.7367153051455,4.828046226144147,-1776.3719186550254,41,48.78048780487805,41
삼성물산,028260,h1,high,5772.267381096467,4586.926560069238,2.553089634520483,-4467.730546274848,43,,0
삼성물산,028260,h1,low,3837.296944082574,3096.119486453922,1.778691618984945,-2389.058863562205,43,,0
삼성물산,028260,h1,close,8103.16559301158,6872.575421250142,3.853157828474001,-6793.152039411455,43,42.85714285714285,42
삼성물산,028260,h2,high,5786.468887476662,4676.71511002949,2.608194383131333,-2942.0968189125933,42,,0
삼성물산,028260,h2,low,5550.834921315021,4469.375807188805,2.578702060246903,-3531.909162231852,42,,0
삼성물산,028260,h2,close,8768.653807049895,7523.097307909101,4.241218247636153,-7024.690859942208,42,38.095238095238095,42
삼성물산,028260,h3,high,5566.990642418741,4504.901185559063,2.567337612553901,-672.3553253383143,41,,0
삼성물산,028260,h3,low,5336.909417587809,4140.008224074431,2.400088872068385,-1154.4352122923194,41,,0
삼성물산,028260,h3,close,6279.568045934974,4951.037409828929,2.821534504995475,-2426.694307385419,41,51.21951219512195,41
삼성전자,005930,h1,high,1468.754111555883,1089.5789843659068,1.480369850122088,-793.5836083667223,43,,0
삼성전자,005930,h1,low,1895.769170081381,1734.150849248088,2.4124987207442072,-1679.919627794,43,,0
삼성전자,005930,h1,close,1683.0941131232437,1320.20175997601,1.806789243868602,-936.5508319333542,43,35.714285714285715,42
